tanggal,harga
2016-07-25,31200.0
2016-07-26,31500.0
2016-07-27,31700.0
2016-07-28,32200.0
2016-07-29,32000.0
2016-08-01,32350.0
2016-08-02,32700.0
2016-08-03,35000.0
2016-08-04,34750.0
2016-08-05,34750.0
2016-08-08,34250.0
2016-08-09,33250.0
2016-08-10,33250.0
2016-08-11,33250.0
2016-08-12,32750.0
2016-08-15,34000.0
2016-08-16,33500.0
2016-08-18,34000.0
2016-08-19,34000.0
2016-08-22,34000.0
2016-08-23,33500.0
2016-08-24,33500.0
2016-08-25,32750.0
2016-08-26,32750.0
2016-08-29,31250.0
2016-08-30,31250.0
2016-08-31,30250.0
2016-09-01,30250.0
2016-09-02,30250.0
2016-09-05,31750.0
2016-09-06,32250.0
2016-09-07,31750.0
2016-09-08,31750.0
2016-09-09,31500.0
2016-09-13,34250.0
2016-09-14,34150.0
2016-09-15,34150.0
2016-09-16,32000.0
2016-09-19,32000.0
2016-09-20,32000.0
2016-09-21,33000.0
2016-09-22,32250.0
2016-09-23,32250.0
2016-09-26,33250.0
2016-09-27,33250.0
2016-09-28,33250.0
2016-09-29,33250.0
2016-09-30,32750.0
2016-10-03,32000.0
2016-10-04,32000.0
2016-10-05,32000.0
2016-10-06,31500.0
2016-10-07,31250.0
2016-10-10,32500.0
2016-10-11,32500.0
2016-10-12,31500.0
2016-10-13,32750.0
2016-10-14,33150.0
2016-10-17,33650.0
2016-10-18,33150.0
2016-10-19,33150.0
2016-10-20,32900.0
2016-10-21,33750.0
2016-10-24,33250.0
2016-10-25,33250.0
2016-10-26,32500.0
2016-10-27,32500.0
2016-10-28,32500.0
2016-10-31,32500.0
2016-11-01,32500.0
2016-11-02,32500.0
2016-11-03,32750.0
2016-11-04,31750.0
2016-11-07,32750.0
2016-11-08,32500.0
2016-11-09,32500.0
2016-11-10,32000.0
2016-11-11,31250.0
2016-11-14,32250.0
2016-11-15,32000.0
2016-11-16,32000.0
2016-11-17,31000.0
2016-11-18,30250.0
2016-11-21,31250.0
2016-11-22,31750.0
2016-11-23,31750.0
2016-11-24,31250.0
2016-11-25,30750.0
2016-11-28,30500.0
2016-11-29,30500.0
2016-11-30,30500.0
2016-12-01,30500.0
2016-12-02,30000.0
2016-12-05,31500.0
2016-12-06,32000.0
2016-12-07,32500.0
2016-12-08,32500.0
2016-12-09,32500.0
2016-12-13,33500.0
2016-12-14,33500.0
2016-12-15,33750.0
2016-12-16,34500.0
2016-12-19,34250.0
2016-12-20,34000.0
2016-12-21,34500.0
2016-12-22,33750.0
2016-12-23,33750.0
2016-12-27,34500.0
2016-12-28,34500.0
2016-12-29,34250.0
2016-12-30,34750.0
2017-01-03,33250.0
2017-01-04,32750.0
2017-01-05,33250.0
2017-01-06,33250.0
2017-01-09,33000.0
2017-01-10,33250.0
2017-01-11,33750.0
2017-01-12,33750.0
2017-01-13,33000.0
2017-01-16,33750.0
2017-01-17,33250.0
2017-01-18,33250.0
2017-01-19,33250.0
2017-01-20,33250.0
2017-01-23,32250.0
2017-01-24,32000.0
2017-01-25,31500.0
2017-01-26,31500.0
2017-01-27,31250.0
2017-01-30,31250.0
2017-01-31,31250.0
2017-02-01,31250.0
2017-02-02,31250.0
2017-02-03,31250.0
2017-02-06,31250.0
2017-02-07,30750.0
2017-02-08,30750.0
2017-02-09,30750.0
2017-02-10,30750.0
2017-02-13,30500.0
2017-02-14,30250.0
2017-02-16,30250.0
2017-02-17,30250.0
2017-02-20,30250.0
2017-02-21,30250.0
2017-02-22,30500.0
2017-02-23,30750.0
2017-02-24,30750.0
2017-02-27,30750.0
2017-02-28,30000.0
2017-03-01,29750.0
2017-03-02,29750.0
2017-03-03,29750.0
2017-03-06,29750.0
2017-03-07,29750.0
2017-03-08,29750.0
2017-03-09,29750.0
2017-03-10,29750.0
2017-03-13,30500.0
2017-03-14,31500.0
2017-03-15,31500.0
2017-03-16,31500.0
2017-03-17,31500.0
2017-03-20,31250.0
2017-03-21,31250.0
2017-03-22,31250.0
2017-03-23,31250.0
2017-03-24,30500.0
2017-03-27,31000.0
2017-03-29,31000.0
2017-03-30,31000.0
2017-03-31,31000.0
2017-04-03,31000.0
2017-04-04,31000.0
2017-04-05,31000.0
2017-04-06,31000.0
2017-04-07,31000.0
2017-04-10,32000.0
2017-04-11,32250.0
2017-04-12,32250.0
2017-04-13,32250.0
2017-04-17,32250.0
2017-04-18,32250.0
2017-04-19,32250.0
2017-04-20,32250.0
2017-04-21,31750.0
2017-04-25,32250.0
2017-04-26,32250.0
2017-04-27,32250.0
2017-04-28,32250.0
2017-05-02,32250.0
2017-05-03,32250.0
2017-05-04,32250.0
2017-05-05,32250.0
2017-05-08,33000.0
2017-05-09,33250.0
2017-05-10,33250.0
2017-05-12,33250.0
2017-05-15,35000.0
2017-05-16,35000.0
2017-05-17,35000.0
2017-05-18,35000.0
2017-05-19,35000.0
2017-05-22,35000.0
2017-05-23,35000.0
2017-05-24,35000.0
2017-05-26,36000.0
2017-05-29,35500.0
2017-05-30,35250.0
2017-05-31,35250.0
2017-06-02,35000.0
2017-06-05,34250.0
2017-06-06,34250.0
2017-06-07,34250.0
2017-06-08,34250.0
2017-06-09,34250.0
2017-06-12,34250.0
2017-06-13,34250.0
2017-06-14,34250.0
2017-06-15,34250.0
2017-06-16,34250.0
2017-06-19,35000.0
2017-06-20,35000.0
2017-06-21,35500.0
2017-06-22,35750.0
2017-07-03,33500.0
2017-07-04,33500.0
2017-07-05,32500.0
2017-07-06,32000.0
2017-07-07,31500.0
2017-07-10,31500.0
2017-07-11,31500.0
2017-07-12,31500.0
2017-07-13,32250.0
2017-07-14,32250.0
2017-07-17,31500.0
2017-07-18,31750.0
2017-07-19,31750.0
2017-07-20,31000.0
2017-07-21,31250.0
2017-07-24,31250.0
2017-07-25,31500.0
2017-07-26,31750.0
2017-07-27,31750.0
2017-07-28,31750.0
2017-07-31,32750.0
2017-08-01,32750.0
2017-08-02,32500.0
2017-08-03,33000.0
2017-08-04,33000.0
2017-08-07,33250.0
2017-08-08,33250.0
2017-08-09,33250.0
2017-08-10,32500.0
2017-08-11,33000.0
2017-08-14,32000.0
2017-08-15,32000.0
2017-08-16,32000.0
2017-08-18,32000.0
2017-08-21,32000.0
2017-08-22,32000.0
2017-08-23,32000.0
2017-08-24,32000.0
2017-08-25,32000.0
2017-08-28,32000.0
2017-08-29,32000.0
2017-08-30,33000.0
2017-08-31,34500.0
2017-09-04,33750.0
2017-09-05,32500.0
2017-09-06,32500.0
2017-09-07,32500.0
2017-09-08,32250.0
2017-09-11,31750.0
2017-09-12,31750.0
2017-09-13,31750.0
2017-09-14,31750.0
2017-09-15,31750.0
2017-09-18,31750.0
2017-09-19,31750.0
2017-09-20,31750.0
2017-09-22,31750.0
2017-09-25,32000.0
2017-09-26,32250.0
2017-09-27,32000.0
2017-09-28,32000.0
2017-09-29,32000.0
2017-10-02,32000.0
2017-10-03,32000.0
2017-10-04,31750.0
2017-10-05,31750.0
2017-10-06,31750.0
2017-10-09,31750.0
2017-10-10,31750.0
2017-10-11,31750.0
2017-10-12,31750.0
2017-10-13,31750.0
2017-10-16,30000.0
2017-10-17,30000.0
2017-10-18,30000.0
2017-10-19,30000.0
2017-10-20,30000.0
2017-10-23,30000.0
2017-10-24,30000.0
2017-10-25,30000.0
2017-10-26,30000.0
2017-10-27,30000.0
2017-10-30,30750.0
2017-10-31,30750.0
2017-11-01,30750.0
2017-11-02,30750.0
2017-11-03,30750.0
2017-11-06,30750.0
2017-11-07,30750.0
2017-11-08,30750.0
2017-11-09,30750.0
2017-11-10,30750.0
2017-11-13,30750.0
2017-11-14,31500.0
2017-11-15,31500.0
2017-11-16,31500.0
2017-11-17,31500.0
2017-11-20,31500.0
2017-11-21,31000.0
2017-11-22,31500.0
2017-11-23,31750.0
2017-11-24,31750.0
2017-11-27,31750.0
2017-11-28,31750.0
2017-11-29,31250.0
2017-11-30,31750.0
2017-12-04,32000.0
2017-12-05,32000.0
2017-12-06,32000.0
2017-12-07,32000.0
2017-12-08,32000.0
2017-12-11,32000.0
2017-12-12,32000.0
2017-12-13,32500.0
2017-12-14,32250.0
2017-12-15,33250.0
2017-12-18,34750.0
2017-12-19,34750.0
2017-12-20,34750.0
2017-12-21,36000.0
2017-12-22,36000.0
2017-12-27,36250.0
2017-12-28,36500.0
2017-12-29,36500.0
2018-01-02,36500.0
2018-01-03,36250.0
2018-01-04,35750.0
2018-01-05,35750.0
2018-01-08,36500.0
2018-01-09,36500.0
2018-01-10,36500.0
2018-01-11,36500.0
2018-01-12,36500.0
2018-01-15,37250.0
2018-01-16,37250.0
2018-01-17,37250.0
2018-01-18,37500.0
2018-01-19,37500.0
2018-01-22,37250.0
2018-01-23,37000.0
2018-01-24,36250.0
2018-01-25,36000.0
2018-01-26,35750.0
2018-01-29,34750.0
2018-01-30,34500.0
2018-01-31,34500.0
2018-02-01,34250.0
2018-02-02,34500.0
2018-02-05,35000.0
2018-02-06,35250.0
2018-02-07,35250.0
2018-02-08,35250.0
2018-02-09,35250.0
2018-02-12,35000.0
2018-02-13,34750.0
2018-02-14,34500.0
2018-02-15,34500.0
2018-02-19,34500.0
2018-02-20,34500.0
2018-02-21,34500.0
2018-02-22,34500.0
2018-02-23,34000.0
2018-02-26,33500.0
2018-02-27,34250.0
2018-02-28,34000.0
2018-03-01,34250.0
2018-03-02,34250.0
2018-03-05,34000.0
2018-03-06,34000.0
2018-03-07,34000.0
2018-03-08,34000.0
2018-03-09,34000.0
2018-03-12,34000.0
2018-03-13,34500.0
2018-03-14,34750.0
2018-03-15,35500.0
2018-03-16,35500.0
2018-03-19,35750.0
2018-03-20,35750.0
2018-03-21,35750.0
2018-03-22,36000.0
2018-03-23,36250.0
2018-03-26,36250.0
2018-03-27,36250.0
2018-03-28,36000.0
2018-03-29,36000.0
2018-04-02,35250.0
2018-04-03,35000.0
2018-04-04,35000.0
2018-04-05,35000.0
2018-04-06,35000.0
2018-04-09,34750.0
2018-04-10,36000.0
2018-04-11,35750.0
2018-04-12,35750.0
2018-04-13,35750.0
2018-04-16,35750.0
2018-04-17,35750.0
2018-04-18,35500.0
2018-04-19,35500.0
2018-04-20,35500.0
2018-04-23,36250.0
2018-04-24,36250.0
2018-04-25,36000.0
2018-04-26,35750.0
2018-04-27,35750.0
2018-04-30,36000.0
2018-05-02,35750.0
2018-05-03,36250.0
2018-05-04,36250.0
2018-05-07,36250.0
2018-05-08,36750.0
2018-05-09,37000.0
2018-05-11,37750.0
2018-05-14,38500.0
2018-05-15,39500.0
2018-05-16,41250.0
2018-05-17,41750.0
2018-05-18,40000.0
2018-05-21,39000.0
2018-05-22,39000.0
2018-05-23,38750.0
2018-05-24,38750.0
2018-05-25,39000.0
2018-05-28,38250.0
2018-05-30,38000.0
2018-05-31,38000.0
2018-06-01,38000.0
2018-06-04,38250.0
2018-06-05,37750.0
2018-06-06,38500.0
2018-06-07,38500.0
2018-06-08,38750.0
2018-06-11,42000.0
2018-06-12,42750.0
2018-06-13,45000.0
2018-06-14,45000.0
2018-06-18,46250.0
2018-06-19,46000.0
2018-06-20,45750.0
2018-06-21,45250.0
2018-06-22,43750.0
2018-06-25,40250.0
2018-06-26,38000.0
2018-06-27,38000.0
2018-06-28,37750.0
2018-06-29,37000.0
2018-07-02,37250.0
2018-07-03,37250.0
2018-07-04,36750.0
2018-07-05,36750.0
2018-07-06,36750.0
2018-07-09,40500.0
2018-07-10,41500.0
2018-07-11,42250.0
2018-07-12,42500.0
2018-07-13,43250.0
2018-07-16,43000.0
2018-07-17,43500.0
2018-07-18,43250.0
2018-07-19,43000.0
2018-07-20,43000.0
2018-07-23,43000.0
2018-07-24,43000.0
2018-07-25,43000.0
2018-07-26,42750.0
2018-07-27,42750.0
2018-07-30,40500.0
2018-07-31,39750.0
2018-08-01,39000.0
2018-08-02,39000.0
2018-08-03,39000.0
2018-08-06,38750.0
2018-08-07,38750.0
2018-08-08,38750.0
2018-08-09,36750.0
2018-08-10,36500.0
2018-08-13,36250.0
2018-08-14,36000.0
2018-08-15,36000.0
2018-08-16,37250.0
2018-08-20,38000.0
2018-08-21,38250.0
2018-08-23,38000.0
2018-08-24,37500.0
2018-08-27,36250.0
2018-08-28,36000.0
2018-08-29,35500.0
2018-08-30,35000.0
2018-08-31,34750.0
2018-09-03,34000.0
2018-09-04,34250.0
2018-09-05,34000.0
2018-09-06,34000.0
2018-09-07,34000.0
2018-09-10,34750.0
2018-09-12,33750.0
2018-09-13,33750.0
2018-09-14,33750.0
2018-09-17,34000.0
2018-09-18,34000.0
2018-09-19,33750.0
2018-09-20,33000.0
2018-09-21,32750.0
2018-09-24,32250.0
2018-09-25,32000.0
2018-09-26,32000.0
2018-09-27,31500.0
2018-09-28,31250.0
2018-10-01,31250.0
2018-10-02,32250.0
2018-10-03,32250.0
2018-10-04,32250.0
2018-10-05,33000.0
2018-10-08,33500.0
2018-10-09,33500.0
2018-10-10,34000.0
2018-10-11,34750.0
2018-10-12,34750.0
2018-10-15,34500.0
2018-10-16,34500.0
2018-10-17,34000.0
2018-10-18,34000.0
2018-10-19,34000.0
2018-10-22,33750.0
2018-10-23,33750.0
2018-10-24,33750.0
2018-10-25,33500.0
2018-10-26,33500.0
2018-10-29,33500.0
2018-10-30,33500.0
2018-10-31,33250.0
2018-11-01,33250.0
2018-11-02,33250.0
2018-11-05,33250.0
2018-11-06,33250.0
2018-11-07,33250.0
2018-11-08,33250.0
2018-11-09,33250.0
2018-11-12,33250.0
2018-11-13,33250.0
2018-11-14,33250.0
2018-11-15,33250.0
2018-11-16,33500.0
2018-11-19,33500.0
2018-11-21,33500.0
2018-11-22,33500.0
2018-11-23,33500.0
2018-11-26,34500.0
2018-11-27,34500.0
2018-11-28,34500.0
2018-11-29,34500.0
2018-11-30,34500.0
2018-12-03,35500.0
2018-12-04,35500.0
2018-12-05,36000.0
2018-12-06,36000.0
2018-12-07,36000.0
2018-12-10,36000.0
2018-12-11,36000.0
2018-12-12,35750.0
2018-12-13,35750.0
2018-12-14,35750.0
2018-12-17,36500.0
2018-12-18,37500.0
2018-12-19,38500.0
2018-12-20,38500.0
2018-12-21,38500.0
2018-12-24,38500.0
2018-12-26,41750.0
2018-12-27,41750.0
2018-12-28,42250.0
2018-12-31,41250.0
2019-01-02,40500.0
2019-01-03,39250.0
2019-01-04,38250.0
2019-01-07,37250.0
2019-01-08,36500.0
2019-01-09,35000.0
2019-01-10,35000.0
2019-01-11,35000.0
2019-01-14,33250.0
2019-01-15,33250.0
2019-01-16,33250.0
2019-01-17,33250.0
2019-01-18,33250.0
2019-01-21,34250.0
2019-01-22,34250.0
2019-01-23,34250.0
2019-01-24,34250.0
2019-01-25,34500.0
2019-01-28,34250.0
2019-01-29,34250.0
2019-01-30,34000.0
2019-01-31,34000.0
2019-02-01,34000.0
2019-02-04,34500.0
